
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
75,Moses Brown,C,21,OKC,43,920,18.8,.572,.000,.470,17.2,26.2,21.6,1.7,1.6,4.5,11.7,16.9,,1.3,1.3,2.6,.138,,-1.3,-1.2,-2.4,-0.1,brownmo01
76,Sterling Brown,SG,25,HOU,51,1229,11.1,.597,.642,.093,3.2,16.8,9.7,8.4,1.5,0.9,10.5,13.5,,1.0,0.8,1.8,.071,,-1.6,0.0,-1.6,0.1,brownst02
77,Troy Brown Jr.,SF,21,TOT,34,524,8.5,.525,.486,.146,4.2,17.4,10.8,7.2,0.9,1.0,12.1,14.0,,0.0,0.5,0.5,.043,,-3.3,-0.6,-4.0,-0.3,browntr01
77,Troy Brown Jr.,SF,21,WAS,21,287,6.3,.471,.517,.169,4.1,18.4,11.3,8.5,0.5,1.2,14.3,16.1,,-0.3,0.2,-0.1,-0.009,,-4.2,-1.3,-5.5,-0.3,browntr01
77,Troy Brown Jr.,SF,21,CHI,13,237,11.2,.616,.436,.109,4.3,16.2,10.3,5.6,1.4,0.7,8.0,11.5,,0.3,0.2,0.5,.107,,-2.3,0.2,-2.2,0.0,browntr01
78,Jalen Brunson,PG,24,DAL,68,1697,17.1,.618,.319,.241,1.8,13.1,7.5,21.3,1.0,0.1,10.3,20.2,,3.9,1.1,5.1,.143,,1.5,-0.6,0.9,1.2,brunsja01
79,Elijah Bryant,SG,25,MIL,1,32,10.6,.559,.385,.231,6.8,12.7,9.9,12.6,0.0,2.8,21.8,24.0,,0.0,0.0,0.0,.008,,-3.9,-3.4,-7.3,0.0,bryanel01
80,Thomas Bryant,C,23,WAS,10,271,18.7,.704,.231,.264,7.1,16.8,11.9,8.2,0.7,2.5,9.8,17.2,,0.7,0.2,1.0,.171,,1.4,-0.6,0.9,0.2,bryanth01
81,Reggie Bullock,SF,29,NYK,65,1949,11.1,.606,.709,.098,0.9,11.4,6.2,7.4,1.3,0.5,7.1,14.4,,2.3,2.3,4.6,.114,,-0.9,0.8,-0.1,0.9,bullore01
82,Trey Burke,PG,28,DAL,62,911,12.6,.544,.465,.161,1.2,5.3,3.3,12.9,1.9,0.7,8.0,20.0,,0.7,0.7,1.4,.071,,-1.4,-0.4,-1.8,0.0,burketr01
